Gene	Transcript_ID	Protein_ID	Length
HORMAD1	ENST00000322343.11	ENSP00000326489.7	387
HORMAD1	ENST00000368987.5	ENSP00000357983.1	190
HORMAD1	ENST00000442853.5	ENSP00000401940.1	164
BTNL8	ENST00000231229.8	ENSP00000231229.4	347
BTNL8	ENST00000400707.7	ENSP00000383543.3	375
BTNL8	ENST00000340184.9	ENSP00000342197.4	500
BTNL8	ENST00000508408.5	ENSP00000424585.1	340
BTNL8	ENST00000511704.5	ENSP00000425207.1	384
BTNL8	ENST00000610640.4	ENSP00000483717.1	375
BTNL8	ENST00000505126.5	ENSP00000427441.1	293
BTNL8	ENST00000533815.2	ENSP00000435098.2	316
MAK	ENST00000313243.6	ENSP00000313021.2	623
MAK	ENST00000474039.5	ENSP00000476067.1	623
MAK	ENST00000354489.7	ENSP00000346484.3	648
MAK	ENST00000536370.6	ENSP00000442221.2	583
MAK	ENST00000676116.1	ENSP00000502045.1	549
KCNC1	ENST00000379472.4	ENSP00000368785.3	511
KCNC1	ENST00000675775.1	ENSP00000502716.1	566
KCNC1	ENST00000265969.8	ENSP00000265969.7	585
KCNC1	ENST00000640318.2	ENSP00000491189.2	625
KCNC1	ENST00000639325.2	ENSP00000492663.2	625
KCNC1	ENST00000639495.1	ENSP00000491700.1	182
KCNC1	ENST00000640461.1	ENSP00000491345.1	70
KCNC1	ENST00000638825.1	ENSP00000491247.1	79
PGLYRP1	ENST00000008938.5	ENSP00000008938.3	196
IYD	ENST00000229447.9	ENSP00000229447.5	293
IYD	ENST00000392256.6	ENSP00000376085.2	247
IYD	ENST00000392255.7	ENSP00000376084.3	270
IYD	ENST00000500320.7	ENSP00000441276.1	284
IYD	ENST00000344419.8	ENSP00000343763.4	289
IYD	ENST00000425615.3	ENSP00000390081.3	192
VIL1	ENST00000454069.5	ENSP00000412657.1	157
VIL1	ENST00000392114.6	ENSP00000375962.2	516
VIL1	ENST00000248444.10	ENSP00000248444.5	827
VIL1	ENST00000440053.1	ENSP00000409270.1	421
VIL1	ENST00000419986.1	ENSP00000394030.1	213
ANKRD60	ENST00000457363.2	ENSP00000396747.1	345
COX6B2	ENST00000588572.6	ENSP00000467959.1	88
COX6B2	ENST00000326529.9	ENSP00000320672.3	88
COX6B2	ENST00000593184.5	ENSP00000467266.1	88
COX6B2	ENST00000590900.5	ENSP00000467128.1	88
COX6B2	ENST00000589467.1	ENSP00000476768.1	88
PRDM9	ENST00000635252.1	ENSP00000489227.1	411
PRDM9	ENST00000502755.6	ENSP00000425471.2	894
PRDM9	ENST00000296682.4	ENSP00000296682.4	894
ANTXRL	ENST00000619553.4	ENSP00000479836.1	61
ANTXRL	ENST00000620264.5	ENSP00000480615.1	631
ARMH2	ENST00000565469.4	ENSP00000454913.1	230
BMX	ENST00000357607.6	ENSP00000350224.2	675
BMX	ENST00000348343.11	ENSP00000308774.6	675
BMX	ENST00000342014.6	ENSP00000340082.6	675
CATSPERG	ENST00000410018.5	ENSP00000387057.1	1119
CATSPERG	ENST00000409235.8	ENSP00000386962.3	1159
CATSPERG	ENST00000409410.6	ENSP00000386950.2	660
CATSPERG	ENST00000489693.2	ENSP00000470225.2	180
MMP9	ENST00000372330.3	ENSP00000361405.3	707
ROPN1L	ENST00000503804.5	ENSP00000421405.1	230
ROPN1L	ENST00000274134.5	ENSP00000274134.4	230
SLC2A14	ENST00000340749.9	ENSP00000340450.5	497
SLC2A14	ENST00000542546.5	ENSP00000443903.1	411
SLC2A14	ENST00000616981.4	ENSP00000482927.1	520
SLC2A14	ENST00000543909.5	ENSP00000440480.1	520
SLC2A14	ENST00000431042.7	ENSP00000407287.2	497
SLC2A14	ENST00000542505.5	ENSP00000438484.1	161
SLC2A14	ENST00000396589.6	ENSP00000379834.2	520
SLC2A14	ENST00000535295.5	ENSP00000440492.1	411
SLC2A14	ENST00000539924.5	ENSP00000445929.1	535
SLC2A14	ENST00000546234.5	ENSP00000440043.1	169
SLC2A14	ENST00000542782.5	ENSP00000438312.1	152
SLC2A14	ENST00000535344.5	ENSP00000443217.1	141
SLC2A14	ENST00000537557.5	ENSP00000440044.1	141
SLC2A14	ENST00000535266.5	ENSP00000437653.1	120
SLC2A14	ENST00000542916.5	ENSP00000442402.1	84
SLC2A14	ENST00000535383.5	ENSP00000443076.1	47
SLC2A14	ENST00000535587.5	ENSP00000438876.1	22
SLC2A14	ENST00000539234.5	ENSP00000444692.1	13
C4BPA	ENST00000367070.8	ENSP00000356037.3	597
C4BPA	ENST00000421786.5	ENSP00000403386.1	152
CDH17	ENST00000027335.8	ENSP00000027335.3	832
CDH17	ENST00000441892.6	ENSP00000392811.2	580
CDH17	ENST00000450165.6	ENSP00000401468.2	832
CDH17	ENST00000521491.1	ENSP00000428189.1	147
HAL	ENST00000261208.8	ENSP00000261208.3	657
HAL	ENST00000541929.5	ENSP00000446364.1	449
HAL	ENST00000538703.5	ENSP00000440861.1	591
HAL	ENST00000548808.1	ENSP00000446678.1	154
HAL	ENST00000552509.5	ENSP00000450372.1	336
HAL	ENST00000546579.1	ENSP00000447543.1	157
HBB	ENST00000335295.4	ENSP00000333994.3	147
HBB	ENST00000647020.1	ENSP00000494175.1	147
HBB	ENST00000485743.1	ENSP00000496200.1	111
HBB	ENST00000380315.2	ENSP00000369671.2	90
NLRP6	ENST00000534750.6	ENSP00000433617.1	891
NLRP6	ENST00000312165.5	ENSP00000309767.4	892
PF4	ENST00000296029.4	ENSP00000296029.3	101
AQP9	ENST00000558772.5	ENSP00000452673.1	230
AQP9	ENST00000219919.9	ENSP00000219919.4	295
CMTM1	ENST00000332695.11	ENSP00000331428.7	122
CMTM1	ENST00000336328.10	ENSP00000337119.6	116
CMTM1	ENST00000457188.6	ENSP00000405729.2	169
CMTM1	ENST00000528324.5	ENSP00000432398.1	114
CMTM1	ENST00000529506.5	ENSP00000434434.2	70
CMTM1	ENST00000531885.5	ENSP00000432687.1	61
CMTM1	ENST00000533666.5	ENSP00000435020.1	28
CMTM1	ENST00000533953.5	ENSP00000435786.1	238
CMTM1	ENST00000379500.7	ENSP00000368814.2	286
CMTM1	ENST00000328020.10	ENSP00000330061.6	231
KCTD19	ENST00000304372.6	ENSP00000305702.5	926
KCTD19	ENST00000562841.1	ENSP00000463249.1	115
KCTD19	ENST00000567976.1	ENSP00000458045.1	134
KCTD19	ENST00000566295.1	ENSP00000462732.1	76
MCEMP1	ENST00000597445.1	ENSP00000471413.1	144
MCEMP1	ENST00000333598.8	ENSP00000329920.3	174
SRGN	ENST00000242465.4	ENSP00000242465.3	158
TP53INP2	ENST00000374809.6	ENSP00000363942.2	220
TP53INP2	ENST00000374810.8	ENSP00000363943.3	220
TP53INP2	ENST00000451665.5	ENSP00000395784.1	88
TP53INP2	ENST00000414082.1	ENSP00000404410.1	77
ZNF106	ENST00000263805.8	ENSP00000263805.4	1883
ZNF106	ENST00000564754.7	ENSP00000456845.2	1906
ZNF106	ENST00000565380.5	ENSP00000455674.1	1111
ZNF106	ENST00000565500.5	ENSP00000456604.1	850
ZNF106	ENST00000569648.5	ENSP00000456191.1	217
ZNF106	ENST00000565611.5	ENSP00000457637.1	1068
ZNF106	ENST00000567772.2	ENSP00000475881.1	191
ZNF106	ENST00000565948.1	ENSP00000455049.1	816
ZNF106	ENST00000567041.1	ENSP00000454882.1	201
C2orf80	ENST00000451342.5	ENSP00000389385.1	139
C2orf80	ENST00000341287.9	ENSP00000343171.4	193
C2orf80	ENST00000451346.5	ENSP00000405393.1	174
C2orf80	ENST00000428015.5	ENSP00000408378.1	128
C2orf80	ENST00000453017.5	ENSP00000397144.1	124
C2orf80	ENST00000423952.2	ENSP00000413016.2	83
C2orf80	ENST00000449053.1	ENSP00000397281.1	66
CAMKK2	ENST00000652382.1	ENSP00000498824.1	588
CAMKK2	ENST00000392474.6	ENSP00000376266.2	556
CAMKK2	ENST00000404169.8	ENSP00000384600.3	588
CAMKK2	ENST00000347034.6	ENSP00000321230.3	545
CAMKK2	ENST00000538733.5	ENSP00000445944.1	498
CAMKK2	ENST00000337174.7	ENSP00000336634.3	541
CAMKK2	ENST00000324774.9	ENSP00000312741.5	588
CAMKK2	ENST00000545538.5	ENSP00000441352.1	343
CAMKK2	ENST00000412367.6	ENSP00000388368.2	541
CAMKK2	ENST00000402834.8	ENSP00000384591.4	588
CAMKK2	ENST00000446440.6	ENSP00000388273.2	490
CAMKK2	ENST00000392473.2	ENSP00000376265.2	533
CAMKK2	ENST00000543477.1	ENSP00000444894.1	125
CAMKK2	ENST00000544485.1	ENSP00000445400.1	87
CAMP	ENST00000296435.2	ENSP00000296435.2	173
CAMP	ENST00000652295.2	ENSP00000498425.1	170
CEACAM3	ENST00000357396.8	ENSP00000349971.3	252
CEACAM3	ENST00000630848.2	ENSP00000485920.1	212
CEACAM3	ENST00000344550.4	ENSP00000341725.4	212
CEACAM3	ENST00000596544.1	ENSP00000469333.1	99
CLEC4D	ENST00000382064.6	ENSP00000371496.2	144
CLEC4D	ENST00000299665.3	ENSP00000299665.2	215
LIPN	ENST00000404459.2	ENSP00000383923.1	398
NPC2	ENST00000434013.6	ENSP00000412103.2	201
NPC2	ENST00000541064.5	ENSP00000442488.1	125
NPC2	ENST00000555619.6	ENSP00000451112.2	151
NPC2	ENST00000238633.6	ENSP00000238633.2	148
NPC2	ENST00000553490.5	ENSP00000451180.1	221
NPC2	ENST00000556009.5	ENSP00000450502.1	173
NPC2	ENST00000557510.5	ENSP00000451206.1	174
NPC2	ENST00000555592.1	ENSP00000450887.1	122
PADI4	ENST00000375453.5	ENSP00000364602.1	127
PADI4	ENST00000375448.4	ENSP00000364597.4	663
SLC26A8	ENST00000490799.6	ENSP00000417638.1	970
SLC26A8	ENST00000394602.6	ENSP00000378100.2	865
SLC26A8	ENST00000355574.6	ENSP00000347778.2	970
SLC26A8	ENST00000480663.1	ENSP00000420488.1	190
TEKT2	ENST00000207457.8	ENSP00000207457.3	430
TEKT2	ENST00000473120.1	ENSP00000432793.1	96
ADARB2	ENST00000381312.6	ENSP00000370713.1	739
ADARB2	ENST00000381310.7	ENSP00000370711.3	248
ADARB2	ENST00000381305.1	ENSP00000370706.1	141
CNTNAP3C	ENST00000636699.1	ENSP00000489658.1	492
HGD	ENST00000283871.10	ENSP00000283871.5	445
HGD	ENST00000475447.2	ENSP00000417977.2	88
HGD	ENST00000494453.1	ENSP00000419163.1	145
HGD	ENST00000476082.2	ENSP00000419560.2	142
IQCN	ENST00000392413.5	ENSP00000376213.2	1367
IQCN	ENST00000600328.7	ENSP00000470780.1	1180
IQCN	ENST00000600359.7	ENSP00000472912.1	1134
IQCN	ENST00000608950.1	ENSP00000476292.1	150
IQCN	ENST00000595654.6	ENSP00000476085.2	94
IQCN	ENST00000593659.5	ENSP00000475861.1	22
IQCN	ENST00000599528.1	ENSP00000475649.1	7
OSM	ENST00000215781.3	ENSP00000215781.2	252
OSM	ENST00000403389.1	ENSP00000383893.1	231
OSM	ENST00000403463.1	ENSP00000384543.1	20
PRAM1	ENST00000423345.5	ENSP00000408342.2	670
PRAM1	ENST00000600262.1	ENSP00000471634.1	180
RGL4	ENST00000401461.5	ENSP00000383951.1	337
RGL4	ENST00000612432.4	ENSP00000484573.1	356
RGL4	ENST00000615003.4	ENSP00000480308.1	410
RGL4	ENST00000290691.10	ENSP00000290691.5	473
RGL4	ENST00000423392.5	ENSP00000402142.1	536
RGL4	ENST00000452208.1	ENSP00000393115.1	155
TGM3	ENST00000381458.6	ENSP00000370867.5	693
UPB1	ENST00000382760.2	ENSP00000372208.2	186
UPB1	ENST00000326010.10	ENSP00000324343.5	384
ABHD12B	ENST00000337334.7	ENSP00000336693.2	362
ABHD12B	ENST00000353130.5	ENSP00000343951.1	285
ATP13A5	ENST00000342358.9	ENSP00000341942.4	1218
ATP13A5	ENST00000446087.1	ENSP00000389416.1	158
CACNB4	ENST00000534999.7	ENSP00000443893.1	486
CACNB4	ENST00000539935.7	ENSP00000438949.1	520
CACNB4	ENST00000637547.1	ENSP00000490124.1	307
CACNB4	ENST00000636901.1	ENSP00000490145.1	392
CACNB4	ENST00000636130.1	ENSP00000490607.1	411
CACNB4	ENST00000637217.1	ENSP00000490250.1	473
CACNB4	ENST00000637309.1	ENSP00000490127.1	256
CACNB4	ENST00000636350.1	ENSP00000489621.1	452
CACNB4	ENST00000636598.1	ENSP00000490247.1	473
CACNB4	ENST00000636617.1	ENSP00000490660.1	407
CACNB4	ENST00000635890.1	ENSP00000489915.1	113
CACNB4	ENST00000638005.1	ENSP00000489677.1	502
CACNB4	ENST00000636442.1	ENSP00000489779.1	461
CACNB4	ENST00000636785.1	ENSP00000489788.1	363
CACNB4	ENST00000638091.1	ENSP00000489967.1	424
CACNB4	ENST00000636773.1	ENSP00000489818.1	411
CACNB4	ENST00000637762.1	ENSP00000489876.1	490
CACNB4	ENST00000637284.1	ENSP00000489787.1	334
CACNB4	ENST00000439467.6	ENSP00000390161.2	473
CACNB4	ENST00000637418.1	ENSP00000489679.1	445
CACNB4	ENST00000397327.7	ENSP00000380490.3	441
CACNB4	ENST00000638040.1	ENSP00000489883.1	410
CACNB4	ENST00000427385.6	ENSP00000410978.2	479
CACNB4	ENST00000636721.1	ENSP00000490795.1	272
CACNB4	ENST00000637779.1	ENSP00000489732.1	423
CACNB4	ENST00000636380.1	ENSP00000490488.1	351
CACNB4	ENST00000636108.1	ENSP00000490176.1	334
CACNB4	ENST00000360283.11	ENSP00000353425.8	472
CACNB4	ENST00000637514.1	ENSP00000490304.1	334
CACNB4	ENST00000201943.10	ENSP00000201943.5	458
CACNB4	ENST00000637216.1	ENSP00000490910.1	341
CACNB4	ENST00000636947.1	ENSP00000490337.1	307
CACNB4	ENST00000636129.1	ENSP00000489912.1	323
CACNB4	ENST00000638056.1	ENSP00000490787.1	124
CACNB4	ENST00000434468.2	ENSP00000399242.2	125
CACNB4	ENST00000636496.1	ENSP00000490249.1	40
CASP5	ENST00000393141.6	ENSP00000376849.2	447
CASP5	ENST00000418434.5	ENSP00000398130.1	292
CASP5	ENST00000260315.8	ENSP00000260315.3	434
CASP5	ENST00000444749.6	ENSP00000388365.2	376
CASP5	ENST00000526056.5	ENSP00000436877.1	447
CASP5	ENST00000531367.5	ENSP00000434471.1	292
CASP5	ENST00000456094.1	ENSP00000415241.1	165
CFAP45	ENST00000368099.9	ENSP00000357079.4	551
CFAP45	ENST00000426543.6	ENSP00000403044.2	466
CFAP45	ENST00000479940.2	ENSP00000478944.1	141
CXCL8	ENST00000401931.1	ENSP00000385908.1	95
CXCL8	ENST00000307407.8	ENSP00000306512.3	99
DGAT2	ENST00000603276.5	ENSP00000474015.1	160
DGAT2	ENST00000604935.5	ENSP00000474887.1	112
DGAT2	ENST00000376262.7	ENSP00000365438.3	345
DGAT2	ENST00000228027.12	ENSP00000228027.6	388
DGAT2	ENST00000604733.5	ENSP00000474668.1	295
DGAT2	ENST00000605099.1	ENSP00000475066.1	113
ENO2	ENST00000537688.5	ENSP00000445788.1	103
ENO2	ENST00000541477.5	ENSP00000438873.1	434
ENO2	ENST00000229277.6	ENSP00000229277.1	434
ENO2	ENST00000538763.5	ENSP00000441490.1	391
ENO2	ENST00000545045.6	ENSP00000438062.1	315
ENO2	ENST00000535366.5	ENSP00000437402.1	434
ENO2	ENST00000543975.1	ENSP00000476112.1	86
ENSG00000269711	ENST00000597959.1	ENSP00000469811.1	137
ENSG00000288796	ENST00000693342.1	ENSP00000510492.1	193
GFAP	ENST00000588735.3	ENSP00000466598.2	432
GFAP	ENST00000639277.1	ENSP00000492432.1	505
GFAP	ENST00000638304.1	ENSP00000491042.1	69
GFAP	ENST00000640545.1	ENSP00000491735.1	59
GFAP	ENST00000253408.11	ENSP00000253408.5	472
GFAP	ENST00000586125.2	ENSP00000467397.2	124
GFAP	ENST00000638618.1	ENSP00000492832.1	326
GFAP	ENST00000591880.2	ENSP00000467530.2	75
GFAP	ENST00000435360.8	ENSP00000403962.1	431
GFAP	ENST00000638281.1	ENSP00000491088.1	438
GFAP	ENST00000639921.1	ENSP00000492156.1	29
GFAP	ENST00000592320.6	ENSP00000465320.1	248
GFAP	ENST00000586793.6	ENSP00000468500.2	334
GFAP	ENST00000588957.5	ENSP00000465565.1	57
GFAP	ENST00000588316.1	ENSP00000465629.1	261
GFAP	ENST00000588037.1	ENSP00000466163.1	189
GFAP	ENST00000593179.1	ENSP00000467106.1	8
GPR141	ENST00000334425.2	ENSP00000334540.1	305
GPR141	ENST00000450180.5	ENSP00000396300.1	104
GPR141	ENST00000447769.1	ENSP00000390410.1	305
H1-6	ENST00000338379.6	ENSP00000341214.5	207
NRXN1	ENST00000401669.7	ENSP00000385017.2	1507
NRXN1	ENST00000625672.2	ENSP00000485887.1	1496
NRXN1	ENST00000406316.6	ENSP00000384311.2	1477
NRXN1	ENST00000636345.1	ENSP00000489745.1	143
NRXN1	ENST00000635519.1	ENSP00000489258.1	62
NRXN1	ENST00000412315.5	ENSP00000396738.2	139
NRXN1	ENST00000404971.5	ENSP00000385142.1	1547
NRXN1	ENST00000342183.9	ENSP00000341184.5	442
NRXN1	ENST00000378262.7	ENSP00000367510.4	142
NRXN1	ENST00000401710.5	ENSP00000385580.2	472
NRXN1	ENST00000630656.1	ENSP00000486993.1	75
NRXN1	ENST00000628364.2	ENSP00000485815.1	469
NRXN1	ENST00000405472.7	ENSP00000434015.2	1495
NRXN1	ENST00000630543.2	ENSP00000486879.1	1499
NRXN1	ENST00000625320.2	ENSP00000486253.1	213
NRXN1	ENST00000495871.2	ENSP00000486185.1	169
NRXN1	ENST00000638037.1	ENSP00000490210.1	33
NRXN1	ENST00000628515.2	ENSP00000486544.1	459
NRXN1	ENST00000625891.2	ENSP00000489108.1	176
NRXN1	ENST00000627198.2	ENSP00000487268.1	136
NRXN1	ENST00000405581.3	ENSP00000385310.1	278
NRXN1	ENST00000636066.1	ENSP00000490017.1	155
NRXN1	ENST00000675235.1	ENSP00000501718.1	290
NRXN1	ENST00000637511.1	ENSP00000490494.1	293
NRXN1	ENST00000626899.1	ENSP00000485912.1	277
NRXN1	ENST00000496792.3	ENSP00000487165.1	126
RPS4Y2	ENST00000629237.2	ENSP00000486252.1	263
S100A12	ENST00000368737.5	ENSP00000357726.3	92
SIGLEC5	ENST00000683636.1	ENSP00000507738.1	551
SLC6A12	ENST00000397296.6	ENSP00000380464.2	614
SLC6A12	ENST00000359674.8	ENSP00000352702.4	614
SLC6A12	ENST00000684302.1	ENSP00000508194.1	614
SLC6A12	ENST00000424061.6	ENSP00000399136.2	614
SLC6A12	ENST00000536824.5	ENSP00000444268.1	614
SLC6A12	ENST00000537793.1	ENSP00000439351.1	146
SLC6A12	ENST00000535347.5	ENSP00000446082.1	81
SLPI	ENST00000338380.2	ENSP00000342082.2	132
SULT1A2	ENST00000533150.5	ENSP00000435271.1	262
SULT1A2	ENST00000335715.9	ENSP00000338742.4	295
SULT1A2	ENST00000395630.5	ENSP00000378992.1	295
SULT1A2	ENST00000526384.1	ENSP00000435358.1	192
TMEM145	ENST00000301204.8	ENSP00000301204.2	493
TMEM145	ENST00000673205.1	ENSP00000499841.1	590
TMEM145	ENST00000598766.1	ENSP00000470827.1	488
TMEM145	ENST00000673187.1	ENSP00000500040.1	563
TMEM145	ENST00000601644.1	ENSP00000470602.1	78
TNFAIP6	ENST00000243347.5	ENSP00000243347.3	277
TNFSF14	ENST00000245912.7	ENSP00000245912.3	204
TNFSF14	ENST00000675206.1	ENSP00000502837.1	240
TNFSF14	ENST00000599359.1	ENSP00000469049.1	240
ANKRD34B	ENST00000338682.8	ENSP00000339802.3	514
ANKRD34B	ENST00000508916.1	ENSP00000426198.1	17
ANPEP	ENST00000679248.1	ENSP00000502886.1	967
ANPEP	ENST00000300060.7	ENSP00000300060.6	967
ANPEP	ENST00000560137.2	ENSP00000453413.2	967
ANPEP	ENST00000559874.2	ENSP00000452934.2	967
BCL2A1	ENST00000335661.6	ENSP00000335250.6	163
BCL2A1	ENST00000267953.4	ENSP00000267953.3	175
BCL2A1	ENST00000677151.1	ENSP00000504466.1	163
CFP	ENST00000396992.8	ENSP00000380189.3	469
CFP	ENST00000247153.7	ENSP00000247153.3	469
CFP	ENST00000377005.6	ENSP00000366204.2	415
CFP	ENST00000469388.1	ENSP00000418258.1	167
CLTCL1	ENST00000621271.4	ENSP00000485020.1	1583
CLTCL1	ENST00000427926.6	ENSP00000441158.1	1640
CLTCL1	ENST00000622493.4	ENSP00000479237.1	369
CLTCL1	ENST00000617926.4	ENSP00000481031.1	463
CLTCL1	ENST00000449918.1	ENSP00000443264.1	169
CSNK1A1L	ENST00000379800.4	ENSP00000369126.3	337
CYP4F3	ENST00000586182.6	ENSP00000466395.1	520
CYP4F3	ENST00000221307.13	ENSP00000221307.6	520
CYP4F3	ENST00000591058.5	ENSP00000466988.1	520
